Parent,Title,Description,State,Priority,Labels,Project,Estimate
"Fetch Grades","Sub: Rename prompt and rubric files","**Scope:** Rename files to match {agent_prefix}_{task}.txt convention. No content changes.

- data/agents/_systemprompts/300_atlas_atswonk.txt -> ats_expert_atlas.txt
- data/agents/_taskprompts/211_GET-(((SCORE))).txt -> ax_consult_get.txt
- data/agents/_taskprompts/212_DO-(((SCORE))).txt -> ja_consult_do.txt
- data/agents/_taskprompts/213_LIKE-(((SCORE))).txt -> ja_consult_like.txt
- data/agents/content/205_GET_RUBRIC.txt -> ax_consult_get_rubric.txt
- data/agents/content/206_DO_RUBRIC.txt -> ja_consult_do_rubric.txt
- data/agents/content/207_LIKE_RUBRIC.txt -> ja_consult_like_rubric.txt

**Layer:** data/agents/_systemprompts/, data/agents/_taskprompts/, data/agents/content/",Backlog,High,subissue,Astral Consult,1
"Fetch Grades","Sub: AGENT_CONFIG for consult tasks","**Scope:** Rename task keys score_get/score_do/score_like to consult_get/consult_do/consult_like. Update context_format to consult_get_{index}, consult_do_{index}, consult_like_{index}. Replace stub response_schemas (task_success + reason) with schemas matching actual rubric output. Common shape: {jobid (str, optional), company (str, optional), title (str, optional), grades (list, required, items_schema: {vector: str required, grade: str required, reason: str required}), dealbreakers (str, optional), clarifications (str, optional), overall_assessment (str, optional), ja_notes (str, optional)}. All three tasks use the same grades key — vector names and count are config-driven in CONSULT_CONFIG, not in the response schema. Change consult_get system_prompt from job_analyst_grace.txt to ats_expert_atlas.txt.

**Layer:** src/utils/config.py (AGENT_CONFIG[""tasks""])",Backlog,High,subissue,Astral Consult,2
"Fetch Grades","Sub: Align cached_blocks per consult task","**Scope:** Ensure each task's cached_blocks match what the rubric and task prompt actually need. GET: GET_RUBRIC (ax_consult_get_rubric.txt) + CANDIDATE_RESUME (resume_base.txt) + LINKEDIN_PROFILE (linkedinprofile.txt) — already correct. DO: add JOB_REQUIREMENTS label with candidate/job_requirements.txt to existing blocks. LIKE: add JOB_REQUIREMENTS (candidate/job_requirements.txt) + PRIVATE_HISTORY (candidate/private_history.txt); review whether CANDIDATE_PREFERENCES (preferences_template.txt) is still needed alongside private_history or is redundant.

**Cache strategy:** Each task escalates cached content. GET: resume + linkedin. DO: + job_requirements. LIKE: + private_history. JD and company vibes are always uncached live_content.

**Layer:** src/utils/config.py (AGENT_CONFIG[""tasks""] cached_blocks)",Backlog,High,subissue,Astral Consult,1
"Fetch Grades","Sub: Update task prompt content","**Scope:** Susan's responsibility. GET (ax_consult_get.txt): update voice/framing for Atlas (ATS expert) instead of Grace. Ensure it references cached block labels GET_RUBRIC, CANDIDATE_RESUME, LINKEDIN_PROFILE. DO (ja_consult_do.txt): add reference to JOB_REQUIREMENTS cached block so rubric can use candidate strengths/weaknesses context. LIKE (ja_consult_like.txt): replace {{{companies/<company>_website.json}}} file reference with language indicating company website content is included in the job data section below; add reference to PRIVATE_HISTORY cached block. Also update rubric output format sections to use generic ""grades"" key and ""ja_notes"" field.

**Layer:** data/agents/_taskprompts/, data/agents/content/",Backlog,High,subissue,Astral Consult,2
"Fetch Grades","Sub: render_verdict orchestrator and helpers","**Scope:** Refactor consult.py around render_verdict(task_type, astral_job_id) as the single orchestrator for per-job consult tasks. Internally: database.get_job to fetch job, database.get_company if requires_company, _prep_live_content for dynamic content assembly, do_task for agent call, add_agent_response_entry for audit (before grade interpretation), then _render_pass_fail or _render_score based on grading_mode. Returns {success, to_state, score, grades} — no parsed_response (full AI response already audited). CLI receives verdict, score, and raw grades array for logging.

Rename old render_verdict to _render_pass_fail (binary grading for qualify_job_listings and evaluate_jd — unchanged behavior, one-line call site updates). Add _render_score stub (F = instant death, no numeric scoring yet — deferred to Render Verdict feature). Add _prep_live_content(job, company=None) helper: JD via tracker.get_job_data coat-check, website_content via roster.get_company_data coat-check for LIKE, returns False on website_content failure after setting NEED_WEBSITE_CONTENT state. Delete score_get, score_do, score_like, score_job_full.

evaluate_jd left unchanged (backlogged refactor).

**Layer:** src/core/consult.py",Backlog,High,subissue,Astral Consult,3
"Fetch Grades","Sub: CONSULT_CONFIG stubs for consult tasks","**Scope:** Add CONSULT_CONFIG entries for consult_get, consult_do, consult_like with: input_state, pass_state, fail_state, batch_size, grading_mode (""scored""). For consult_like: requires_company=True. vectors and pass_threshold deferred to Render Verdict feature. Add NEED_WEBSITE_CONTENT to JOB_STATES and job_state_transitions (from PASSED_DO).

**Layer:** src/utils/config.py (CONSULT_CONFIG, JOB_STATES, TRACKER_CONFIG)",Backlog,High,subissue,Astral Consult,1
"Render Verdict","Sub: CONSULT_CONFIG scoring entries","**Scope:** Add vectors array and pass_threshold to CONSULT_CONFIG consult_get/do/like entries. Each vector is {name: str, grade_scores: {A: int, B: int, C: int, D: int}} — score tables calibrated by importance. High-importance vectors have large A values (e.g. A=50), low-importance vectors have small A values (e.g. A=10). F is always instant death regardless of vector. X excludes the vector from scoring entirely. The quantity of vectors is config-driven. No magic numbers per ASTRAL_CODE_RULES 1.4.

**Layer:** src/utils/config.py (CONSULT_CONFIG)",Backlog,High,subissue,Astral Consult,2
"Render Verdict","Sub: Extend _render_score for numeric scoring","**Scope:** _render_score currently stubs as F-means-death with no numeric scoring. Extend to full implementation: (1) validate vector names match config vectors exactly (catch agent creativity), (2) F in ANY vector = instant death → fail_state, (3) exclude X-graded vectors from calculation entirely, (4) for each non-X vector look up grade in that vector's grade_scores → sum = numerator, (5) sum A-values for non-X vectors → denominator (total possible), (6) score = (numerator / denominator) * 10, (7) compare score against pass_threshold → pass_state or fail_state. Return (to_state, score) tuple.

**Layer:** src/core/consult.py (_render_score), src/utils/config.py (reads CONSULT_CONFIG)",Backlog,High,subissue,Astral Consult,3
"Render Verdict","Sub: Save grades and score to job_data","**Scope:** After render_verdict returns {success, to_state, score, grades}, CLI saves the full grade array + calculated numeric score to job_data via tracker.save_job_data. Keyed by task: consult_get saves to get_grades + get_score, consult_do saves to do_grades + do_score, consult_like saves to like_grades + like_score. The grades value is the full [{vector, grade, reason}] array from the AI — preserved for audit. CLI then calls tracker.transition_state with to_state. Agent response audit already handled inside render_verdict.

**Layer:** src/cli/ (batch scripts), src/core/tracker.py (save_job_data, transition_state)",Backlog,High,subissue,Astral Consult,2
"Render Verdict","Sub: CLI scripts for consult batch processing","**Scope:** Create h_ja_consult_get, i_ja_consult_do, k_ja_consult_like CLI scripts. Pattern B (per-job iteration) following evaluate_jd_batch.py template. Each script: --batch-count parameter (default no limit, run until empty), claim batch from CONSULT_CONFIG[task][""input_state""], iterate jobs, call render_verdict(task_type, job[""astral_job_id""]), save grades + score to job_data, transition state, release batch in finally block. render_verdict handles all lookups internally — CLI just passes task_type and astral_job_id. render_verdict returns {success, to_state, score, grades} — CLI logs verdict, score, and grade summary per job. CLI imports core and utils only — never external, never data. Suppress HTTP logging at startup.

**Layer:** src/cli/",Backlog,High,subissue,Astral Consult,3
