Parent,Title,Description,State,Priority,Labels,Project,Estimate
"Edit Candidate Profile","Candidate table schema and database functions","**Scope:** Create the candidate table, add candidate_id FK to company table, and build all database CRUD functions.

- CREATE TABLE candidate (astral_candidate_id UUID PK, first, last, contact_email, state TEXT default 'NEW', candidate_data JSON, created_at, updated_at, state_changed_at)
- ALTER TABLE company ADD COLUMN candidate_id TEXT (FK to candidate)
- Index on company.candidate_id
- Database functions: save_candidate, get_candidate, update_candidate, update_candidate_data, get_candidate_for_entity
- get_candidate_for_entity resolves candidate_id from entity chain: given ""job""/astral_job_id or ""company""/short_name, walks the FK to return candidate_id
- Schema flags: _candidate_schema_ensured, _company_candidate_fk_ensured
- Update database.py module docstring header inventory per ASTRAL_CODE_RULES 1.1
- Add CANDIDATE_STATES ordered list to config.py following COMPANY_STATES pattern

**Layer:** src/data/database.py, src/utils/config.py",Backlog,High,subissue,Astral Candidate,3
"Edit Candidate Profile","Candidate core layer","**Scope:** Create src/core/candidate.py with orchestration functions for candidate operations.

- create_candidate(first, last, contact_email) -- calls save_candidate, returns candidate
- get_candidate(candidate_id) -- fetch with all data
- update_candidate_profile(candidate_id, profile_fields) -- update contact fields + candidate_data, trigger parse_resume if resume_raw present
- transition_candidate_state(candidate_id, to_state) -- validate linear progression (can only advance one step), update state + state_changed_at
- get_candidate_state(candidate_id) -- returns current state string
- Import rules: imports from src/data/database, src/external/anthropic, src/utils/config only

**Layer:** src/core/candidate.py",Backlog,High,subissue,Astral Candidate,1
"Edit Candidate Profile","Parse Resume AGENT_CONFIG task","**Scope:** Add parse_resume task definition to AGENT_CONFIG and create placeholder task prompt file.

- New task parse_resume in AGENT_CONFIG (config.py)
- system_prompt: job_analyst_grace.txt (existing Grace persona)
- task_prompt: ja_parse_resume.txt (placeholder with instructions skeleton)
- cached_blocks: none (resume text is live_content)
- response_format: json
- response_schema: { resume_summary: str, resume_competencies: list, resume_experiences: list, resume_previous_experience: list, resume_education_certifications: list, resume_skills: list }
- Placeholder task prompt file at data/agents/_taskprompts/ja_parse_resume.txt
- Task prompt content (.txt) is Admin responsibility; sub-issue defines config entry + schema only

**Layer:** src/utils/config.py, data/agents/_taskprompts/",Backlog,Medium,subissue,Astral Candidate,1
"Edit Candidate Profile","Parse Resume core orchestration","**Scope:** Build parse_candidate_resume function in core/candidate.py that calls do_task and merges results into candidate_data.

- parse_candidate_resume(candidate_id) in src/core/candidate.py
- Fetches candidate, gets resume_raw from candidate_data
- Calls do_task(""parse_resume"", live_content=resume_raw) -- no index needed (not entity-scoped)
- On success: merges parsed sections into candidate_data via update_candidate_data, transitions NEW -> PROFILE_READY
- On failure: saves contact info anyway (partial save), returns error dict for UI
- Audits AI response via add_agent_response_entry (same pattern as render_verdict)

**Layer:** src/core/candidate.py",Backlog,High,subissue,Astral Candidate,1
"Edit Candidate Profile","Candidate API endpoints (Blueprint)","**Scope:** Create Flask Blueprint for candidate CRUD endpoints, register in server.py.

- New Blueprint ui/api/candidate.py with url_prefix=""/api/candidates""
- Register in ui/server.py alongside existing blueprints
- Endpoints (all @require_auth):
  - GET /api/candidates -- list all candidates (for Manage Candidates ListPage)
  - GET /api/candidates/<id> -- single candidate with full candidate_data
  - POST /api/candidates -- create new candidate (from Manage Candidates modal)
  - PUT /api/candidates/<id>/profile -- update profile fields, triggers parse_resume on save if resume_raw changed
  - GET /api/candidates/<id>/state -- returns current state (for nav gating)
- Error handling: 404 for unknown candidate, 400 for validation errors, 500 for parse failures
- Response format: JSON, consistent with existing API patterns

**Layer:** ui/api/candidate.py, ui/server.py",Backlog,High,subissue,Astral Candidate,2
"Edit Candidate Profile","Profile screen wiring (de-stub)","**Scope:** Wire Profile.tsx to real API endpoints and update DATA_SHAPES to match actual candidate schema.

- Update Profile.tsx to fetch candidate data from GET /api/candidates/<id> (hardcoded id=1 initially)
- Save calls PUT /api/candidates/<id>/profile
- Surface parse errors if resume parse fails (toast or inline error)
- Loading state while fetching
- Update DATA_SHAPES candidates.detail.profile in config.py: first, last, contact_email, display_email, phone, location, github, linkedin_url, resume_raw (textarea), linkedin_raw (textarea)
- DetailsEditPage component already built and wired

**Layer:** ui/frontend/src/pages/Candidate/Profile.tsx, src/utils/config.py",Backlog,High,subissue,Astral Candidate,1
"Edit Candidate Profile","Bootstrap migration script","**Scope:** Create idempotent migration script to seed candidate_id=1 from existing data/candidate/ files and assign all company rows.

- New script scripts/migrations/bootstrap_candidate.py
- Reads existing data/candidate/ files: resume_base.txt, linkedinprofile.txt, private_history.txt
- Seeds candidate record (astral_candidate_id=1, first=""Susan"", last=""Somerset"", state=""LIVE_PROMPTS"")
- Populates candidate_data with file contents as resume_raw, linkedin_raw, etc.
- Updates all existing company rows: SET candidate_id = 1
- Idempotent: checks for existing candidate before insert, safe to re-run

**Layer:** scripts/migrations/",Backlog,Medium,subissue,Astral Candidate,1
"Edit Survey Lists","Survey API endpoints","**Scope:** Add CRUD endpoints for survey arrays to candidate Blueprint with state transition on first access.

- Add to candidate Blueprint (ui/api/candidate.py):
  - GET /api/candidates/<id>/survey/<survey_key> -- returns array from candidate_data
  - POST /api/candidates/<id>/survey/<survey_key> -- append new item (description, priority, timestamps)
  - PUT /api/candidates/<id>/survey/<survey_key>/<idx> -- update item by index
  - DELETE /api/candidates/<id>/survey/<survey_key>/<idx> -- remove item by index
- Valid survey_key values: strengths, priorities, deal_breakers, backstory, base_resume
- State transition on first GET: if candidate is at prerequisite state for this survey, advance (e.g., first GET of strengths when state=PROFILE_READY transitions to SURVEY_STRENGTHS)
- Core function: update_survey_item(candidate_id, survey_key, action, data) in candidate.py

**Layer:** ui/api/candidate.py, src/core/candidate.py",Backlog,High,subissue,Astral Candidate,2
"Edit Survey Lists","Survey ListPage component pattern and DATA_SHAPES","**Scope:** Add shared DATA_SHAPES entries for survey screens and establish the reusable survey page pattern.

- Shared approach for all survey screens (except Base Resume which has special layout)
- Add DATA_SHAPES entries to config.py:
  - candidates.list.survey -- shared columns: description (truncated), priority (1-5 badge), updated_at
  - candidates.edit.survey -- shared fields: description (textarea), priority (select 1-5)
- No new React components -- reuse ListPage + Modal pattern already built
- Each survey page fetches shapes from /api/shapes/candidates and data from /api/candidates/<id>/survey/<key>

**Layer:** src/utils/config.py (DATA_SHAPES), ui/frontend/",Backlog,High,subissue,Astral Candidate,1
"Edit Survey Lists","Wire Strengths, Goals, Deal Breakers screens","**Scope:** De-stub three survey pages using the shared survey ListPage + Modal pattern.

- De-stub three pages: Strengths.tsx, Goals.tsx, DealBreakers.tsx
- Each follows identical pattern: fetch shapes, fetch survey data, render ListPage, Modal for add/edit
- Delete with confirmation dialog
- State transition fires automatically on first page load (API handles it)
- All three screens use same survey DATA_SHAPES columns and edit fields

**Layer:** ui/frontend/src/pages/Candidate/",Backlog,High,subissue,Astral Candidate,1
