Parent,Title,Description,State,Priority,Labels,Project,Estimate
"Claim Company Batches","Sub: get_new_company_batch signature and contract (core)","**Scope:** Define the **core** orchestration function for claiming a new batch of companies.

**Layer:** Core (e.g. src/core/gazer.py). Data layer does not generate batch_id; core does.

**Signature:**
```python
get_new_company_batch(
    state: str,
    limit: int,
    sort_by: str = ""updated_at""
) -> Tuple[str, List[Dict]]
```

**Behavior:** Generate batch_id (UUID); call data claim_company_batch(batch_id, state, limit, sort_by); call data get_company_batch(batch_id); return (batch_id, companies).

**Input:** state (validate against ASTRAL_CONFIG[""company_states""] only), limit (0 = unlimited), sort_by. **Returns:** (batch_id, companies). No hardcoded state strings.

**Ref:** gazer-features.csv Claim Company Batches; ASTRAL_CODE_RULES 2b, 3c",Backlog,High,subissue,Astral Gazer,1
"Claim Company Batches","Sub: Query logic and prioritization (inside claim_company_batch)","**Scope:** Implement the query inside **data** claim_company_batch(batch_id, state, limit, sort_by?): only update rows where batch_id was previously null; ORDER BY sort_by (e.g. last_scan_at ASC NULLS FIRST).

**WHERE:** state = ? AND batch_id IS NULL AND (last_scan_at IS NULL OR last_scan_at < now - interval). Stale threshold (interval) must come from config (e.g. scan_interval_hours)—explicit from config, no magic number.

**ORDER BY:** sort_by ASC NULLS FIRST (never-scanned first, then oldest). **LIMIT:** from param; null if limit=0.

**Processing:** UPDATE company SET batch_id, batch_created_at on matching rows. Data layer does not generate batch_id; caller (core) passes it in. Naming: company_batch (entity first).

**Ref:** gazer-features.csv Query Logic; Prioritization; ASTRAL_CODE_RULES 2b",Backlog,High,subissue,Astral Gazer,2
"Claim Company Batches","Sub: Data layer primitives (claim_company_batch, get_company_batch, clear_company_batch)","**Scope:** Data layer functions for company batches. Naming: company_batch / job_batch (entity first). Core get_new_* breaks down to claim + get at data layer; no redundancy.

**Company table primitives:**
- claim_company_batch(batch_id, state, limit, sort_by?) — set batch_id, batch_created_at on up to limit rows where state=? AND batch_id IS NULL; ORDER BY sort_by (query/order/limit as in Query logic subissue)
- get_company_batch(batch_id) -> List[Dict] (no state/limit)
- clear_company_batch(batch_id) — set batch_id and batch_created_at NULL for that batch

**Job table (parallel pair):** claim_job_batch(batch_id, state, limit, sort_by?), get_job_batch(batch_id), clear_job_batch(batch_id).

**Code:** src/data/database.py. Data never generates batch_id.

**Ref:** gazer-features.csv Database; GAZER_FEATURES_VS_ASTRAL_CODE_RULES.md #1",Backlog,High,subissue,Astral Gazer,2
"Claim Company Batches","Sub: Gazer config for scan and batch","**Scope:** Config-driven gazer settings for claim and run.

**Config keys (example):**
- scan_state (e.g. WATCH)
- sort_key (e.g. last_scan_at)
- max_companies_per_run (0 = unlimited)
- scan_interval_hours
- concurrent_batch_size

**Usage:** Gazer reads config; no magic numbers. Same pattern as Roster/Tracker config.

**Ref:** gazer-features.csv Configuration; ASTRAL_CODE_RULES 2b",Backlog,Medium,subissue,Astral Gazer,1
"Claim Company Batches","Sub: Gazer execution pattern and batch lifecycle","**Scope:** Orchestration: claim batch (core), process in chunks, release batch (data).

**Flow:** core.get_new_company_batch(state, limit, sort_by) → (batch_id, companies); process companies in concurrent chunks (asyncio.gather); then data.clear_company_batch(batch_id) on exit (success or failure).

**Semantics:** Single batch_id for entire run; prevents double-processing. Release always so companies can be retried if needed.

**Ref:** gazer-features.csv Gazer Execution Pattern; Batch Locking",Backlog,High,subissue,Astral Gazer,1
"Scrape Job Postings","Sub: Input contract and Playwright entry","**Scope:** Define input and entry into scrape flow.

**Input:** company (dict with job_site, parse_instructions), batch_id (str).

**Steps:** Create browser context; navigate to company[""job_site""]; retries (e.g. 2) for network failures.

**Validation:** company and job_site present; fail fast on invalid input.

**Ref:** gazer-features.csv Input; Processing Flow 1",Backlog,High,subissue,Astral Gazer,1
"Scrape Job Postings","Sub: load_all_jobs pagination and ready wait","**Scope:** Trigger pagination so all jobs are in DOM.

**Behavior:** navigate_and_wait_for_ready(page, job_site); then load_all_jobs(page, short_name).

**load_all_jobs:** Infinite scroll (scroll to bottom, detect new content, repeat — max scrolls from config); ""Load More"" buttons (click until exhausted — max clicks from config).

**Ref:** gazer-features.csv Trigger Pagination; load_all_jobs",Backlog,High,subissue,Astral Gazer,2
"Scrape Job Postings","Sub: no_jobs_message early exit","**Scope:** When parse_instructions contains no_jobs_message, check page text.

**If** message found in page text → legitimate no openings; return success with 0 jobs (do not parse). Caller records scan success and updates last_scan_at.

**Ref:** gazer-features.csv Validate Page Structure; no_jobs_message",Backlog,High,subissue,Astral Gazer,1
"Scrape Job Postings","Sub: extract_page_dom and pass to parser","**Scope:** Extract culled DOM (scripts, styles, meta removed) and return for parsing.

**Function:** page_html = await extract_page_dom(page). Return (page_html, parse_instructions) to Parse Job Containers.

**Output:** On success (page_html, parse_instructions). On failure raise with error details.

**Ref:** gazer-features.csv Extract DOM; Pass to Parser",Backlog,Medium,subissue,Astral Gazer,1
"Scrape Job Postings","Sub: Retry and error handling","**Scope:** Retry logic and error semantics.

**Retries:** navigate_and_wait_for_ready retries 2x on timeout/failure; after 2 retries raise. Exception caught by Track Scan Results.

**Scenarios:** Network/load → failure record, company stays WATCH. Bot detection → failure record; future bot mitigation out of scope.

**Ref:** gazer-features.csv Playwright Retry Logic; Error Scenarios",Backlog,Medium,subissue,Astral Gazer,1
