Parent,Title,Description,State,Priority,Labels,Project,Estimate
"Evaluate Job List","Sub: AGENT_CONFIG qualify_job_listings task","**Scope:** Rename AGENT_CONFIG task key check_job_list to qualify_job_listings. Update task_prompt to ja_qualify_job_listings.txt; cached block to ja_qualify_job_listings_instructions.txt. Update response_schema to new shape: {jobs: [{company_job_id, job_title, job_link, grades: [...], reason, ...}]}; each job has grades array (dealbreaker assessments); reason has enum constraint; items_schema for per-item validation of jobs array. Ensure response_format is json.

**Constraints:** No danny_notes or Danny references in schema or code. reason must be enum (valid values defined in ja_qualify_job_listings_instructions.txt). grades is required list per job.

**Layer:** src/utils/config.py (AGENT_CONFIG[""tasks""][""qualify_job_listings""])

**Ref:** AST-133 plan Sub 1; ASTRAL_CODE_RULES 2.1.",Backlog,High,subissue,Astral Consult,2
"Evaluate Job List","Sub: Batch size constraint and CONSULT_CONFIG","**Scope:** Add CONSULT_CONFIG[""qualify_job_listings""] to config.py with: batch_size (e.g. 10), pass_state (""PASSED_JOBLIST""), fail_state (""FAILED_JOBLIST""). CLI only reads batch_size when claiming batch; consult never does. render_verdict reads pass_state and fail_state to derive to_state from grades. qualify_job_listings is the only task that sends whole batch to one do_task call (vs per-job iteration).

**Constraints:** No magic numbers (ASTRAL_CODE_RULES 1.4). All behavior-driving values in config.

**Layer:** src/utils/config.py (new CONSULT_CONFIG block)

**Ref:** AST-133 plan Sub 2; ASTRAL_CODE_RULES 1.4, 2.1.",Backlog,High,subissue,Astral Consult,1
"Evaluate Job List","Sub: Tracker save_job","**Scope:** New tracker function save_job(astral_job_id, company, company_job_id, job_title, job_link, metadata=None). Updates job table columns (company_job_id, job_title, job_link) and merges optional metadata dict into job_data JSON blob (keys like salary_range, location, industry — omit when not stated). Consult calls save_job and transition_state separately (no composite function). transition_state already exists in tracker. Database layer needs update_job or similar to set top-level columns.

**Constraints:** Batch job shape is {astral_job_id, company, job_data: {raw_job_listing: ""<thumbprint>""}}.

**Layer:** src/core/tracker.py, src/data/database.py

**Ref:** AST-133 plan Sub 3.",Backlog,High,subissue,Astral Consult,2
"Evaluate Job List","Sub: render_verdict","**Scope:** New consult function render_verdict(task_key: str, grades: List[str]) -> str. Receives task_key and array of grades (dealbreaker assessments, e.g. [""PASS"", ""PASS"", ""F""]). Config-driven: reads CONSULT_CONFIG[task_key][""pass_state""] and [""fail_state""]. Logic (for now): if any grade is ""F"" or fail, return fail_state; else return pass_state. Extensible for more sophisticated rules (weighted grades, thresholds, etc.). qualify_job_listings and future consult tasks call this to derive to_state from parsed response.

**Constraints:** Must read from CONSULT_CONFIG, not hardcode states.

**Layer:** src/core/consult.py, src/utils/config.py (reads CONSULT_CONFIG)

**Ref:** AST-133 plan Sub 4.",Backlog,High,subissue,Astral Consult,1
"Evaluate Job List","Sub: qualify_job_listings core function","**Scope:** Thick core function async def qualify_job_listings(batch_id: str, jobs: List[Dict]) -> Dict. (1) assemble_raw_job_listings(jobs) pulls job_data[""raw_job_listing""] per job, concatenates with separators. (2) Calls do_task(task_key=""qualify_job_listings"", live_content=..., index=f""qualify_batch_{batch_id}""). (3) Maps parsed response jobs to input jobs by index. (4) For each job: calls render_verdict(task_key, grades) to get to_state; calls tracker.save_job(astral_job_id, company, company_job_id, job_title, job_link, metadata); calls tracker.transition_state([astral_job_id], to_state). (5) Persists agent_response in agent_responses table. (6) Returns verdict counts summary {passed, failed, total} so CLI can validate passed+failed==total==len(jobs) and pretty-print stats.

**Constraints:** Consult owns mapping verdict to state, saving, and transitioning. CLI only calls qualify_job_listings(batch_id, jobs) and logs stats. No danny_notes.

**Layer:** src/core/consult.py

**Ref:** AST-133 plan Sub 5. Depends on Sub 1 (AGENT_CONFIG), Sub 3 (save_job), Sub 4 (render_verdict).",Backlog,High,subissue,Astral Consult,3
"Evaluate Job List","Sub: AI response shape and rubric","**Scope:** Update ja_qualify_job_listings_instructions.txt with new response shape: {jobs: [{company_job_id, job_title, job_link, grades: [""PASS"",""PASS"",""F""], reason: <enum>, ...}]}. First 3 job keys REQUIRED (company_job_id, job_title, job_link). grades is required array of dealbreaker assessments (PASS/FAIL per element). reason is ENUM only (not natural language); valid values MUST be listed in instructions file (e.g. DB_LOCATION_HYBRID, DB_SALARY, DB_ROLE_TYPE, REMOTE). Add EXTRACT METADATA section with recommended snake_case job_data key names (salary_range, location, industry, remote_policy, role_level, company_size, employment_type); omit key when not stated in listing.

**Constraints:** NO danny_notes, NO Danny references in instructions, schema, or code. Rubric: each dealbreaker element gets PASS/FAIL; agent returns array; fail job if even one fail. Order of jobs in response must match order of input raw_job_listings. State machine: NEW to PASSED_JOBLIST or FAILED_JOBLIST.

**Layer:** data/agents/content/ja_qualify_job_listings_instructions.txt, src/utils/config.py (response_schema)

**Ref:** AST-133 plan Sub 6. Depends on Sub 1 (schema).",Backlog,High,subissue,Astral Consult,2
"Evaluate Job List","Sub: do_task items_schema validation","**Scope:** Extend _validate_response_schema in anthropic.py to support per-item validation for list fields. Schema can specify items_schema: {...} for a list field; each element validated against that sub-schema. For qualify_job_listings: jobs has items_schema requiring company_job_id (str, required), job_title (str, required), job_link (str, required), grades (list, required); reason (str, enum) validated when present. Ensures anthropic never passes sloppy natural language or malformed items to consult — parse/schema failures always return {success: False, error: ""...""}.

**Constraints:** Consult must never receive raw unstructured text when success=True. Existing top-level validation unchanged; items_schema is additive.

**Layer:** src/external/anthropic.py (_validate_response_schema)

**Ref:** AST-133 plan Sub 7. Depends on Sub 1 (response_schema with items_schema).",Backlog,High,subissue,Astral Consult,2
"Evaluate Job Description","Sub: evaluate_jd signature and live content","**Scope:** async def evaluate_jd(job: Dict) -> Dict; build_jd_content from job_data[""job_description""] and job_data[""raw_job_listing""]; do_task(task_key=""evaluate_jd"", ...).

**Layer:** src/core/consult.py

**Ref:** consult-features Function Signature; Live Content Assembly.",Backlog,High,subissue,Astral Consult,2
"Evaluate Job Description","Sub: Response schema (pass/fail) and failure reason categories","**Scope:** Pass: verdict, notes, company_tenword, job_summary; Fail: verdict, reason, notes. Enumerate exact failure reason strings per 102 rubric for pattern analysis.

**Ref:** consult-features AI Response; Failure Reason Categories.",Backlog,High,subissue,Astral Consult,2
"Evaluate Job Description","Sub: Caller responsibilities and state machine","**Scope:** Save to job_data; PASS to PASSED_JD, FAIL to FAILED_JD; input state ADDED_JD_SCRAPE.

**Ref:** consult-features Caller Responsibilities; State Machine.",Backlog,High,subissue,Astral Consult,1
