Parent,Title,Description,State,Priority,Labels,Project,Estimate
"Import Companies to Roster","Sub: Company schema and config alignment","**Scope:** Align company table and data layer with docs/ROSTER_DATA_MODEL.md and config.

**Snake_case columns:**
- short_name, state, company_name, company_website, job_site, batch_id, company_data, agent_responses (no camelCase)

**Two blobs:**
- company_data: notes keyed by prompt index (e.g. prefilter_company_notes); parse_instructions when applicable
- agent_responses: array of { timestamp, prompt_index, raw_response }

**State validation:**
- Validate state against ASTRAL_CONFIG[""company_states""] only
- No hardcoded ALLOWED_STATES (ASTRAL_CODE_RULES 2b)

**batch_id:**
- On company table; same locking concept as posting

**Note:**
- Company table is used only in the new codebase; old codebase used _roster.json

**Checklist:**
- Use config for allowed states
- No magic numbers
- No hardcoded sets

**Ref:** README State machines, config.py company_states",Todo,High,subissue,Astral Roster,5
"Import Companies to Roster","Sub: save_company (data layer)","**Scope:** Data layer for company persistence.

**Code:** src/data/database.py

**Function signature:**
- save_company(short_name, state, company_website, job_site, company_data, agent_responses, ...)
- Snake_case params and columns

**Validation:**
- State validated against ASTRAL_CONFIG[""company_states""] only (no hardcoded set)

**Behavior:**
- When state=NEW clear posting rows for company
- INSERT OR REPLACE; preserve search_history

**Ref:** ROSTER_DATA_MODEL.md

**Status:** Built (legacy shape); align with schema alignment subissue",Backlog,Medium,subissue,Astral Roster,1
"Import Companies to Roster","Sub: CSV parsing and validation","**Scope:** Parse CSV with columns short_name, company_name, website_url, job_site_url (optional).

**Requirements:**
- Multi-line and quoted fields
- Snake_case column names in code/spec

**Layer:** scripts or data

**Status:** Will build",Backlog,Medium,subissue,Astral Roster,2
"Import Companies to Roster","Sub: Single-company create with validation","**Scope:** Create one company via CLI/API.

**Required fields:**
- short_name
- company_name

**Optional fields:**
- company_website
- job_site

**Naming:** Snake_case

**Layer:** core or CLI

**Status:** Will build",Backlog,Medium,subissue,Astral Roster,1
"Import Companies to Roster","Sub: URL normalization and duplicate detection","**Scope:** Normalize URLs and detect duplicates before insert.

**Normalization:**
- www/non-www
- trailing slash
- protocol variants

**Duplicate detection:**
- Check short_name uniqueness
- Check company_website uniqueness

**Layer:** utils or data

**Status:** Will build",Backlog,Medium,subissue,Astral Roster,2
"Import Companies to Roster","Sub: State IMPORTED and company_data init","**Scope:** On import set state and initialize company_data.

**State:**
- Set state=IMPORTED (UPPERCASE from config)

**company_data:**
- Initialize as {} or minimal blob
- Do not duplicate column data in company_data

**Ref:** ROSTER_DATA_MODEL.md

**Status:** Will build",Backlog,Low,subissue,Astral Roster,1
"Locate Company Website","Sub: Google CSE integration","**Scope:** Query Google Custom Search for company website.

**Query:** ""<company name> website""

**Results:** Return top N results (N from config or named constant)

**Code:** New src/external/google_cse.py (from astral_investigate)

**Status:** Dependency",Backlog,High,subissue,Astral Roster,5
"Locate Company Website","Sub: AI evaluation task for homepage selection","**Scope:** Send search results to AI; pick main company homepage.

**Filtering:**
- Exclude careers/social/news sites
- Pick main homepage only

**Confidence:** Return confidence level

**Layer:** config task + src/external/anthropic.py fetch_response

**Prompt index:** Semantic name (e.g. find_company_website)

**Status:** Will build",Backlog,High,subissue,Astral Roster,5
"Locate Company Website","Sub: get_companies_by_state (data layer)","**Scope:** Select companies WHERE state=? for batch processing.

**Code:** src/data/database.py

**Validation:**
- Filter by ASTRAL_CONFIG[""company_states""] where relevant
- No hardcoded state list

**Note:** Exists in src/astral_database.py; migrate to data layer

**Status:** Will build",Todo,Medium,subissue,Astral Roster,2
"Locate Company Website","Sub: State transitions to WEBSITE_FOUND / NO_WEBSITE / WEBSITE_REVIEW","**Scope:** Update company state and save notes after website discovery.

**States (UPPERCASE from config):**
- WEBSITE_FOUND
- NO_WEBSITE
- WEBSITE_REVIEW

**Notes:**
- Save in company_data keyed by prompt index (e.g. website_discovery_notes)

**Ref:** config company_states

**Status:** Will build",Backlog,Medium,subissue,Astral Roster,2
