Parent,Title,Description,State,Priority,Labels,Project,Estimate
"Manage Candidates — API Key","Database schema, encryption, get_api_key, and endpoint wiring","**Scope:** Add encrypted API key column to candidate table, build encryption helpers, add get_api_key core function, and wire save into existing PUT endpoint.

- ALTER candidate table: add `candidate_api_key` TEXT column
- Idempotent migration in `_ensure_candidate_schema()` in src/data/database.py
- Add `cryptography` (Fernet) to requirements
- Encryption key from env var (e.g. `ASTRAL_ENCRYPTION_KEY`)
- Two helper functions in database.py: `_encrypt_value(plaintext) -> ciphertext`, `_decrypt_value(ciphertext) -> plaintext`
- `save_candidate()` encrypts `candidate_api_key` before writing
- `get_candidate()` returns `candidate_api_key` (encrypted) as part of the candidate dict — the raft carries it
- Add `get_api_key(candidate: dict) -> str` to src/core/candidate.py: decrypts `candidate_api_key` from the candidate dict, raises `ValueError` if missing or blank — no fallback to system key
- Extend existing `PUT /api/candidates/<id>/data` in ui/api/candidate.py: pop `api_key` from body (same pattern as `state` override), encrypt, pass to `save_candidate()` as `candidate_api_key` — no new endpoint
- Never echo the key value back in any response; list endpoint returns truthiness only (see list view subissue)
- Update database.py module docstring per ASTRAL_CODE_RULES 1.1

**Layer:** src/data/database.py, src/core/candidate.py, ui/api/candidate.py",Backlog,High,subissue,Astral Administrator,2
"Manage Candidates — API Key","Edit modal: API key field","**Scope:** Add masked API key input to the existing Manage Candidates edit modal.

- In ui/frontend/src/pages/Admin/ManageCandidates.tsx, add API key field to edit modal
- Masked input (`type=""password""`) with a reveal toggle button
- Saves through existing PUT endpoint alongside other candidate fields
- Validation: key must be non-blank on save
- No key field in Add modal (key is added after candidate creation)

**Layer:** ui/frontend/src/pages/Admin/ManageCandidates.tsx",Backlog,Medium,subissue,Astral Administrator,1
"Manage Candidates — API Key","List view: API key status indicator","**Scope:** Add a status-only column to the Manage Candidates list showing whether each candidate has an API key set.

- Add `api_key_status` computed value to list endpoint response (or compute client-side from candidate dict truthiness)
- List shows status only: 'Set' (green) or 'Not set' (amber) — never the key value
- Add column to DATA_SHAPES `candidates.list.manage` in src/utils/config.py, or handle as a client-side render column (same pattern as the existing `_actions` column)

**Layer:** src/utils/config.py, ui/frontend/src/pages/Admin/ManageCandidates.tsx",Backlog,Medium,subissue,Astral Administrator,1
"Manage Candidates — API Key","Nav cleanup: remove and rename items","**Scope:** Remove obsolete nav items and rename placeholders to match their intended features.

- Remove from NAV_CONFIG in src/utils/config.py:
  - `Analysis Instructions` (path: `/admin/analysis_instructions`)
  - `Resume Framework` (path: `/admin/resume_framework`)
- Rename in NAV_CONFIG:
  - `Scheduled Actions` → `Task Dispatcher`
  - `Performance Monitor` → `Execution History`
- Remove matching routes from ui/frontend/src/routes.tsx
- Page component files can stay (dead code cleanup, no functional impact)

**Layer:** src/utils/config.py, ui/frontend/src/routes.tsx",Backlog,Medium,subissue,Astral Administrator,1
"Manage Agents","Agent table and database functions","**Scope:** Create agent table and CRUD functions in database.py.

- CREATE TABLE agent: `agent_id` TEXT PK (human-readable, e.g. `job_analyst_grace`), `content` TEXT (system prompt template, may include merge tokens), `updated_at` TIMESTAMP
- Idempotent schema creation following existing `_ensure_*_schema` pattern
- Database functions: `save_agent(agent_id, content)`, `get_agent(agent_id)`, `list_agents()` (returns agent_id, char count of content, updated_at)
- No delete in v1 (agents are referenced by agent_task records)
- Update database.py module docstring per ASTRAL_CODE_RULES 1.1

**Layer:** src/data/database.py",Backlog,High,subissue,Astral Administrator,1
"Manage Agents","API endpoints and nav rename","**Scope:** Create API blueprint for agent CRUD and rename nav item from Agent Prompts to Manage Agents.

- New Blueprint ui/api/admin_agents.py with url_prefix=""/api/admin/agents"", registered in ui/server.py
- Endpoints (all @require_auth):
  - GET /api/admin/agents — list all agents (agent_id, char count, updated_at)
  - GET /api/admin/agents/:agent_id — get full content
  - PUT /api/admin/agents/:agent_id — save updated content
  - POST /api/admin/agents — create new agent (agent_id + content)
- Rename in NAV_CONFIG: `Agent Prompts` → `Manage Agents`
- Update route path in routes.tsx to match

**Layer:** ui/api/admin_agents.py, ui/server.py, src/utils/config.py, ui/frontend/src/routes.tsx",Backlog,High,subissue,Astral Administrator,1
"Manage Agents","Manage Agents screen","**Scope:** De-stub AgentPrompts.tsx into a working Manage Agents screen.

- ListPage showing all agents from GET /api/admin/agents
- Columns: agent_id, char count of content, updated_at
- Row action: Edit → full-page textarea with content, save writes back via PUT
- Add New Agent button → modal with agent_id input + content textarea, creates via POST
- No delete in v1
- Rename component file or keep as AgentPrompts.tsx (functional name in nav is what matters)

**Layer:** ui/frontend/src/pages/Admin/AgentPrompts.tsx",Backlog,High,subissue,Astral Administrator,1
"Manage Tasks","CONFIG_TASKS refactor and TOKEN_SOURCES in config.py","**Scope:** Replace AGENT_CONFIG with CONFIG_TASKS and add config-driven token resolution mapping.

- Replace `AGENT_CONFIG` with `CONFIG_TASKS` — task key is the index, each entry keeps only code-owned fields:
  - `response_schema` (dict), `vectors` (list), `grading_mode` (string), `requires_candidate_key` (bool), `trigger_state` (string)
- Prompt content fields (system_prompt, task_prompt, cached_blocks, uncached_blocks) removed — now live in agent_task table
- Add `get_task_keys()` — returns list of all task keys for UI rendering
- Add `stringify_response_schema(task_key)` — returns formatted string for `{$RESPONSE_SCHEMA}` token
- Add `TOKEN_SOURCES` mapping — config-driven token-to-data-path definitions:
  - Each token maps to a source type and resolution path
  - Source types: `candidate` (dot-path into candidate dict), `config` (named resolver function), `company` (future — dot-path into company_data, designed for but not yet wired)
  - Adding new tokens is a config change, not a code change
- Update all references to `AGENT_CONFIG` across codebase (anthropic.py, consult.py, etc.)

**Layer:** src/utils/config.py, all files importing AGENT_CONFIG",Backlog,High,subissue,Astral Administrator,2
"Manage Tasks","agent_task table, database functions, and startup sync","**Scope:** Create agent_task table and CRUD functions with automatic sync on startup.

- CREATE TABLE agent_task: `task_key` TEXT PK (matches CONFIG_TASKS key), `agent_id` TEXT FK to agent (nullable until assigned), `user_prompt` TEXT, `cache_prompt` TEXT, `nocache_prompt` TEXT, `updated_at` TIMESTAMP
- Database functions: `save_agent_task(task_key, ...)`, `get_agent_task(task_key)`, `list_agent_tasks()`
- Startup sync: compare CONFIG_TASKS keys against agent_task rows; auto-create blank records for missing keys (surfaces in UI as unconfigured/red)
- Update database.py module docstring per ASTRAL_CODE_RULES 1.1

**Layer:** src/data/database.py",Backlog,High,subissue,Astral Administrator,1
"Manage Tasks","anthropic.py DB-first prompt assembly and generic token resolver","**Scope:** Refactor do_task to fetch prompt content from DB and resolve merge tokens generically via TOKEN_SOURCES.

- `do_task` fetches agent_task record by task_key from database
- Resolves agent_id → fetches system prompt content from agent table
- Generic token resolution: regex finds all `{$TOKEN}` patterns in prompt text, looks each up in `TOKEN_SOURCES` from config, resolves value from the mapped source:
  - `candidate` source: dot-path walk into ctx (the candidate dict on the raft)
  - `config` source: calls named resolver function (e.g. `stringify_response_schema`)
  - `company` source: dot-path walk into company_data (designed for, not yet wired)
  - Unresolved tokens left as-is (no crash on unknown tokens)
- Assembles prompt identically to current shape — same output, different source
- Falls back to existing file-based assembly if no agent_task record found (migration safety)
- consult.py requires no changes — do_task interface unchanged

**Layer:** src/external/anthropic.py",Backlog,High,subissue,Astral Administrator,3
