Title,Description,State,Priority,Labels,Project,Estimate
Build builder.py — Resume and Cover Letter Renderer,"New core module src/core/builder.py. Two public functions: build_resume(job_id) and build_base_resume(candidate_id). Both resolve all data internally — builder calls tracker.py for job data (job_data.artifacts.resume_content, job_data.artifacts.cover_letter, job_data.critical_keywords) and candidate.py for candidate data (candidate_data.profile.*, candidate_data.artifacts.base_resume). No caller legwork required. Renders print-ready HTML served via a Flask route in a new browser tab; user prints to PDF via browser native print. Cover letter is built only when job_data.artifacts.cover_letter is present. build_base_resume() builds from candidate_data.artifacts.base_resume content with no job context. Contact fields (name, email, phone, location, linkedin, github) are injected at render time from candidate_data.profile — never from artifact content. Hidden ATS keywords block injected from job_data.critical_keywords (sourced from grade_get response, parsed via split_to_list()) — present in PDF text layer, not visible on document.",Todo,High,builder;core;feature,Astral Artifacts,5
Add split_to_list() to formatting.py,"Add split_to_list(value: str, delimiter: str = ',') -> list[str] to src/utils/formatting.py. Splits string on delimiter, strips whitespace from each token, filters empty strings. Used by builder.py to parse comma-separated agent output fields such as critical_keywords from grade_get. Delimiter defaults to comma; caller can override for future use.",Todo,Low,utils;feature,Astral Artifacts,1
Add BUILD_CONFIG to config.py,"Add BUILD_CONFIG block to src/utils/config.py. Contains: default_style (full v07 design system: font stacks, sizes, weights, line heights, spacing, decorative h2 flanking-rule treatment, print rules — single source of truth for all render styling); supported_sections (array of known section types with formatting rules: summary, experience, competencies, education, skills, prior_experience, cover letter blocks — door left open for future types like publications_articles); artifact_shapes (expected JSON structure for resume_content and cover_letter artifacts — defines the contract between agent output and builder input). Candidate-level style overrides (accent_color, any default_style overrides) stored in candidate_data.artifacts.base_resume and merged over BUILD_CONFIG.default_style at render time.",Todo,High,config;builder;feature,Astral Artifacts,3
Add Accent Color and Style Preferences to Base Resume Artifact,"Extend candidate_data.artifacts.base_resume to carry style preferences alongside resume content: accent_color (hex, chosen from a curated dark palette) and an optional default_style override map. Add accent color picker to the Base Resume modal page header (ArtifactsBaseResumeContent.tsx) — renders a row of dark palette swatches, stores selection to candidate_data.artifacts.base_resume.accent_color. BUILD_CONFIG.default_style defines the palette. builder.py merges candidate accent_color over the config default at render time. No other style fields exposed to candidate for now.",Todo,Medium,candidate;builder;interface;feature,Astral Artifacts,3
Add Flask Route for builder.py HTML Output,"Add /candidate/resume/<job_id> and /candidate/resume/base routes to the Flask API (ui/api/). Each route calls builder.build_resume(job_id) or builder.build_base_resume(candidate_id), returns rendered HTML with Content-Type text/html. Frontend opens the route in a new browser tab (window.open). No React rendering involved — pure HTML response designed for browser print-to-PDF. Requires auth.",Todo,Medium,interface;builder;feature,Astral Artifacts,2
Writing Preferences — Candidate Profile Field,"Add freeform writing_preferences textarea to the candidate profile UI. Stored in candidate_data.context. Injected into artifact generation task prompts via the {$WRITING_PREFERENCES} parsable token. Susan controls which task prompts consume the token. Examples: 'NO EM DASHES', 'never use the word wheelhouse'.",Todo,Medium,candidate;artifact;feature,Astral Artifacts,2
Build Resume Artifact,"Configure and run a daisy-chain multi-agent pipeline via do_task() to produce structured JSON resume content tailored to a specific job. Stored in job_data.artifacts.resume_content (shape defined in BUILD_CONFIG.artifact_shapes). Base resume content is cached for early agent passes then promoted (replaced in its cache slot) with the revised version so later agents never evaluate stale content. Pipeline triggered by batch runner when job reaches RECOMMENDED state. Agents produce a draft — candidate reviews and edits in the Job Analysis Report UI tabbed editor before generating final output. Agents never write contact details; builder.py injects those from candidate_data.profile at render time.",Todo,High,artifact;consult;feature,Astral Artifacts,5
Build Cover Letter Artifact,"Configure and run a daisy-chain multi-agent pipeline via do_task() to produce structured JSON cover letter content tailored to a specific job. Stored in job_data.artifacts.cover_letter (shape defined in BUILD_CONFIG.artifact_shapes). Shares cached context with the resume pipeline. Incorporates {$WRITING_PREFERENCES} token. Triggered at RECOMMENDED state after resume pipeline. Agents produce a draft — candidate reviews and edits in the Job Analysis Report UI. builder.py injects contact fields and signature image from candidate_data.profile at render time.",Todo,High,artifact;consult;feature,Astral Artifacts,3
Job State Machine — Artifacts and Candidate States,"Retire PASSED_LIKE. LIKE analysis pass_state is now BUILD_ARTIFACTS. New states added to JOB_STATES and TRACKER_CONFIG job_state_transitions in config.py: BUILD_ARTIFACTS (batch_criteria: limit 10, triggers artifact pipeline), BUILD_FAILED (error holding state), CANDIDATE_REVIEW (artifact draft ready, candidate owns content), CANDIDATE_APPLIED, CANDIDATE_SKIPPED, CANDIDATE_INTERVIEW, CANDIDATE_REJECTED. Candidate_ states are candidate-only transitions — no dispatcher or batch runner may set them. Add save/get helpers in tracker.py for job_data.artifacts (resume_content, cover_letter). Config changes are complete; this feature covers the tracker.py helper layer and any UI state label/grouping updates needed.",Todo,High,tracker;config;feature,Astral Artifacts,3
Daisy-Chain Task Execution in do_task(),"Extend do_task() in src/external/anthropic.py to support self-chaining. After a successful task completes and saves its agent_response, do_task() checks the agent_task row for a run_next task key. If present, calls itself recursively passing the prior response as {$CALLER_RESPONSE} token and the accumulated cache blocks as {$CACHE_BLOCK_A} through {$CACHE_BLOCK_D}. Each step saves independently to agent_responses. Chain terminates when run_next is empty. Callers (consult.py, roster.py) require zero changes — they call do_task() as today and receive the final chained result.",Todo,Urgent,anthropic;cache;feature,Astral Artifacts,8
Add Parsable Chain Tokens to resolve_tokens(),"Extend resolve_tokens() in src/utils/config.py to support: {$CALLER_RESPONSE} (prior task output), {$CACHE_BLOCK_A} through {$CACHE_BLOCK_D} (accumulated cache blocks from preceding call), {$WRITING_PREFERENCES} (from candidate_data.context), {$SELECTED_AGENT} (resolves to assigned agent system prompt content). Token values are passed into resolve_tokens() by do_task() at call time — no changes to callers needed.",Todo,High,anthropic;config;feature,Astral Artifacts,3
Add System Prompt Tab to Manage Tasks,"Add an editable System tab to the Manage Tasks UI (TaskPrompts.tsx) alongside existing prompt content tabs. Maps to a new system_prompt column on the agent_task DB row. Defaults to {$SELECTED_AGENT} which resolves to the assigned agent's system prompt at runtime. Can be overwritten — required for artifact pipeline tasks where agent persona is placed in the task prompt, freeing the system slot for stable cached content.",Todo,High,interface;anthropic;feature,Astral Artifacts,3
